Gender,Age,AgeGroup,Education,City,Country,SubjectCode,Score,GivenScore,Stimulus,Prefix,WordType,CorpusFrequency
female,16,child,school,Izhevsk,Russia,AA,A,5,utochnit,u,standard,2860
female,16,child,school,Izhevsk,Russia,AA,A,5,ozhestochit,o,standard,686
female,16,child,school,Izhevsk,Russia,AA,E,1,ovneshnit,o,marginal,4
female,16,child,school,Izhevsk,Russia,AA,E,1,oblusit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,osvezhit,o,standard,280
female,16,child,school,Izhevsk,Russia,AA,A,5,oschastlivit,o,standard,343
female,16,child,school,Izhevsk,Russia,AA,E,1,udamlit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,E,1,uvkusnit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,E,1,utulit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,objasnit,o,standard,18149
female,16,child,school,Izhevsk,Russia,AA,E,1,obmomlit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,orzhavit,o,marginal,2
female,16,child,school,Izhevsk,Russia,AA,D,2,ochavit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,omezhdunarodit,o,marginal,1
female,16,child,school,Izhevsk,Russia,AA,D,2,onomit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,oblegchit,o,standard,1802
female,16,child,school,Izhevsk,Russia,AA,C,3,udorozhit,u,marginal,8
female,16,child,school,Izhevsk,Russia,AA,D,2,ukampit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,oslozhnit,o,standard,410
female,16,child,school,Izhevsk,Russia,AA,C,3,omuzykalit,o,marginal,4
female,16,child,school,Izhevsk,Russia,AA,E,1,umarvit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,okruglit,o,standard,939
female,16,child,school,Izhevsk,Russia,AA,C,3,umedlit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,A,5,uluchshit,u,standard,1899
female,16,child,school,Izhevsk,Russia,AA,A,5,uslozhnit,u,standard,311
female,16,child,school,Izhevsk,Russia,AA,E,1,okochlit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,ukrasivit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,E,1,uloprit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,obytovit,o,marginal,3
female,16,child,school,Izhevsk,Russia,AA,A,5,uplotnit,u,standard,201
female,16,child,school,Izhevsk,Russia,AA,E,1,unokrit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,oprilichit,o,marginal,1
female,16,child,school,Izhevsk,Russia,AA,C,3,userjeznit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,A,5,umenshit,u,standard,2010
female,16,child,school,Izhevsk,Russia,AA,E,1,oduktit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,obogatit,o,standard,800
female,16,child,school,Izhevsk,Russia,AA,E,1,uguzvit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,B,4,opoxabit,o,marginal,1
female,16,child,school,Izhevsk,Russia,AA,A,5,uteplit,u,standard,205
female,16,child,school,Izhevsk,Russia,AA,C,3,oserjeznit,o,marginal,1
female,16,child,school,Izhevsk,Russia,AA,E,1,ushadrit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,C,3,ustrozhit,u,marginal,3
female,16,child,school,Izhevsk,Russia,AA,A,5,ogolit,o,standard,387
female,16,child,school,Izhevsk,Russia,AA,C,3,ukonkretit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,E,1,osurit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,ukorotit,u,standard,787
female,16,child,school,Izhevsk,Russia,AA,C,3,osurovit,o,marginal,2
female,16,child,school,Izhevsk,Russia,AA,E,1,otovit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,B,4,usovremenit,u,marginal,1
female,16,child,school,Izhevsk,Russia,AA,D,2,ogabit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,uskorit,u,standard,2008
female,16,child,school,Izhevsk,Russia,AA,C,3,uprozrachit,u,marginal,4
female,16,child,school,Izhevsk,Russia,AA,C,3,ostekljanit,o,marginal,1
female,16,child,school,Izhevsk,Russia,AA,E,1,oshaklit,o,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,uxudshit,u,standard,199
female,16,child,school,Izhevsk,Russia,AA,C,3,ucelomudrit,u,marginal,3
female,16,child,school,Izhevsk,Russia,AA,E,1,uchopit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,oslabit,o,standard,1401
female,16,child,school,Izhevsk,Russia,AA,E,1,usaglit,u,nonce,0
female,16,child,school,Izhevsk,Russia,AA,A,5,uprostit,u,standard,1350
female,16,child,school,Izhevsk,Russia,AB,A,5,utochnit,u,standard,2860
female,16,child,school,Izhevsk,Russia,AB,B,4,ozhestochit,o,standard,686
female,16,child,school,Izhevsk,Russia,AB,D,2,ovneshnit,o,marginal,4
